,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start.Date,Completion.Date,Last.Update.Posted,Locations,URL,MapCountry,Drugonly,Month,Completion.Year,day_of_week
2126,2127,Analysis of the Inflammatory Response and the Development of Humoral and Cellular Immunity in Patients With COVID-19,Recruiting,Other: Active COVID-19 disease,All,"16 Years and older   (Child, Adult, Older Adult)",,200.0,"April 15, 2020",2020-08-15,"August 13, 2020","UMAE Hospital de Especialidades del Centro Médico Nacional Siglo XXI, IMSS., México, Ciudad De México, Mexico",https://ClinicalTrials.gov/show/NCT04423640,Mexico,,8.0,2020,Saturday
2127,2128,Prospective Evaluation of the Predictive Criteria of Severity for Respiratory Infection Due to COVID-19 Virus,Completed,Other: Follow-up phone call,All,"15 Years and older   (Child, Adult, Older Adult)",,4734.0,"April 27, 2020",2020-07-17,"November 9, 2020","University Hospital of Toulouse, Toulouse, France",https://ClinicalTrials.gov/show/NCT04615676,France,,7.0,2020,Friday
2128,2129,"NORMAL HUMAN IMMUNOGLOBULINS (IVIG) IN PATIENTS AGED 75 YEARS AND OVER, COVID-19 WITH SEVERE ACUTE RESPIRATORY FAILURE",Recruiting,Drug: IgIV,All,75 Years and older   (Older Adult),Phase 2,35.0,"May 5, 2020",2021-05-05,"May 27, 2020","Centre Hospitalier de Versailles, Le Chesnay, France",https://ClinicalTrials.gov/show/NCT04403269,France,IgIV,5.0,2021,Wednesday
2129,2130,Mindfulness-based Crisis Intervention for COVID-19 Frontline Healthcare Workers During COVID-19,Completed,Other: Mindfulness based intervention,All,"Child, Adult, Older Adult",Not Applicable,1000.0,"March 10, 2020",2020-04-26,"September 18, 2020","La Paz University Hospital, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04555005,Spain,,4.0,2020,Sunday
2130,2131,"Safety and Immunogenicity Study of GX-19, a COVID-19 Preventive DNA Vaccine in Healthy Adults",Recruiting,Drug: GX-19|Drug: Saline,All,18 Years to 50 Years   (Adult),Phase 1|Phase 2,210.0,"June 17, 2020",2022-06-17,"July 28, 2020","Severance hospital, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04445389,"Korea, Republic of",GX-19|Saline,6.0,2022,Friday
2131,2132,C2Rx Hemofiltration Treatment in Severe or Critically Ill Adults With COVID-19,Not yet recruiting,Device: C2Rx|Other: Standard of Care (SOC),All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,30.0,"September 15, 2020",2021-01-15,"September 3, 2020",,https://ClinicalTrials.gov/show/NCT04537975,Undefined,,1.0,2021,Friday
2132,2133,Hydrogen-oxygen Gas Mixture Inhalation in Patients With Convalescent Coronavirus Disease 2019 (COVID-19),Not yet recruiting,"Device: Hydrogen-Oxygen Generator with Nebulizer, AMS-H-03|Device: OLO-1 Medical Molecular Sieve Oxygen Generator",All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,198.0,"October 31, 2020",2021-12-31,"October 22, 2020","Guangzhou Institute of Respiratory Disease, Guangzhou, Guangdong, China|First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",https://ClinicalTrials.gov/show/NCT04594460,China,,12.0,2021,Friday
2133,2134,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-198","Active, not recruiting",Drug: BRII-198|Drug: Placebo,All,18 Years to 49 Years   (Adult),Phase 1,17.0,"July 13, 2020",2021-03-01,"December 3, 2020","Investigative Site, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04479644,China,BRII-198|Placebo,3.0,2021,Monday
2134,2135,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-196","Active, not recruiting",Drug: BRII-196|Drug: Placebo,All,18 Years to 49 Years   (Adult),Phase 1,16.0,"July 12, 2020",2021-03-01,"December 3, 2020","Investigative Site, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04479631,China,BRII-196|Placebo,3.0,2021,Monday
2135,2136,Recovery Profiles in Patients With SARS-CoV-2 Outcomes Undergoing Rehabilitation,Recruiting,Behavioral: Early rehabilitation|Behavioral: Subacute rehabilitation|Behavioral: Mindfulness training|Behavioral: Personalized ambulatory training,All,"18 Years and older   (Adult, Older Adult)",,200.0,"March 30, 2020",2021-06-03,"November 4, 2020","Department of Neuroscience and Rehabilitation, University Hospital of Ferrara, Ferrara, Emilia Romagna, Italy",https://ClinicalTrials.gov/show/NCT04615390,Italy,,6.0,2021,Thursday
2136,2137,COVID-19 and Obstetric Transmission,Recruiting,Diagnostic Test: RT-PCR and antibody testing,Female,18 Years to 50 Years   (Adult),,200.0,"April 28, 2020",2021-07-31,"June 9, 2020","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT04418557,United States,,7.0,2021,Saturday
2137,2138,Efficacy of Intravenous Almitrine in Reducing the Need for Mechanical Ventilation in Patients With Hypoxemic Acute Respiratory Failure Due to Covid-19-related Pneumonia,Recruiting,Drug: Almitrine|Drug: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,212.0,"September 3, 2020",2020-12-01,"September 23, 2020","Hospital Pitié-Salpêtrière, Paris, France",https://ClinicalTrials.gov/show/NCT04357457,France,Almitrine|Placebo,12.0,2020,Tuesday
2138,2139,Impact of Postoperative Telemedicine Visit vs In-person Visit on Patient Satisfaction During the COVID-19 Pandemic: A Prospective Randomized Trial,Recruiting,Behavioral: Telemedicine visit|Behavioral: In-person postoperative visit,All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,70.0,"September 28, 2020",2021-06-30,"December 3, 2020","Cedars Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04652674,United States,,6.0,2021,Wednesday
2139,2140,Extracellular Vesicle Infusion Therapy for Severe COVID-19,Not yet recruiting,Biological: DB-001,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,60.0,"September 1, 2020",2020-12-31,"July 30, 2020",,https://ClinicalTrials.gov/show/NCT04493242,Undefined,,12.0,2020,Thursday
2140,2141,Assessment of Efficacy and Safety of HCQ and Antibiotics Administrated to Patients COVID19(+),Withdrawn,Drug: Hydroxychloroquine|Drug: Azithromycin,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,0.0,"May 5, 2020",2020-07-15,"August 28, 2020","Eshmoun Clinical Research Centre/ Hôpital Abderrahmen Mami-Ariana, Tunis, Tunisia",https://ClinicalTrials.gov/show/NCT04351919,Tunisia,Hydroxychloroquine|Azithromycin,7.0,2020,Wednesday
2141,2142,Vaccination of Ex-acute COVID-19 Patients With Fibrosing Lung Syndrome at Discharge,Not yet recruiting,Biological: IN01 vaccine,All,"18 Years and older   (Adult, Older Adult)",Phase 1,40.0,"December 1, 2020",2022-06-01,"September 24, 2020","Hospital El Pilar, Barcelona, Spain",https://ClinicalTrials.gov/show/NCT04537130,Spain,,6.0,2022,Wednesday
2142,2143,Indirect Endovenous Systemic Ozone for New Coronavirus Disease (COVID19) in Non-intubated Patients,Not yet recruiting,Other: Systemic indirect endovenous ozone therapy,All,"18 Years and older   (Adult, Older Adult)",Phase 3,50.0,July 2020,2020-12-01,"June 23, 2020","SEOT, Valencia, Spain",https://ClinicalTrials.gov/show/NCT04359303,Spain,,12.0,2020,Tuesday
2143,2144,The Effect of COVID-19 Pandemic on Adolescent and Young Adult Cancer Patients and Survivors,Recruiting,Other: Quality-of-Life Assessment|Other: Survey Administration,All,18 Years to 39 Years   (Adult),,600.0,"July 13, 2020",2021-12-31,"September 16, 2020","M D Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04551378,United States,,12.0,2021,Friday
2144,2145,"A Safety, Tolerability and Efficacy of Molnupiravir (EIDD-2801) to Eliminate Infectious Virus Detection in Persons With COVID-19",Recruiting,Drug: EIDD-2801|Drug: Placebo (PBO),All,"18 Years and older   (Adult, Older Adult)",Phase 2,204.0,"June 16, 2020",2021-02-28,"December 9, 2020","Benchmark Research, Colton, California, United States|Valley Clinical Trials, Inc., Northridge, California, United States|FOMAT Medical Research, Oxnard, California, United States|Indago Research and Health Center, Inc., Hialeah, Florida, United States|NOLA Research, New Orleans, Louisiana, United States|University of North Carolina School of Medicine, Chapel Hill, North Carolina, United States|Duke, Durham, North Carolina, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Care United Research, LLC, Forney, Texas, United States|Laguna Clinical Research, Laredo, Texas, United States|Fred Hutch, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04405570,United States,EIDD-2801|Placebo (PBO),2.0,2021,Sunday
2145,2146,COVID-19: Nasal and Salivary Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses,Recruiting,Device: mouthrinse with bêta-cyclodextrin and citrox|Device: mouthrinse without bêta-cyclodextrin and citrox,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,206.0,"April 27, 2020",2020-12-20,"September 23, 2020","Clinic of the Protestant Infirmary in Lyon, Caluire-et-Cuire, France|CH Emile Roux, Le Puy en Velay, France|Intercommunal Hospital Center of Mont de Marsan, Mont de Marsan, France",https://ClinicalTrials.gov/show/NCT04352959,France,,12.0,2020,Sunday
2146,2147,SARS-CoV2 Antibodies in Pediatric Patients (COVID-19),Not yet recruiting,Diagnostic Test: Blood test for IgG antibodies against SARS-CoV-2,All,"up to 18 Years   (Child, Adult)",,2000.0,"October 5, 2020",2022-05-01,"October 9, 2020",,https://ClinicalTrials.gov/show/NCT04581148,Undefined,,5.0,2022,Sunday
2147,2148,Combination of Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP and Isotretinoin Could be Promising COVID-19 Infection- and Lung Injury Preventing Drug Better Than Recombinant Human ACE2,Not yet recruiting,Combination Product: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2) plus Aerosolized 13 cis retinoic acid,All,18 Years to 60 Years   (Adult),Phase 1,24.0,July 2020,2020-12-01,"June 4, 2020",,https://ClinicalTrials.gov/show/NCT04382950,Undefined,,12.0,2020,Tuesday
2148,2149,Clinical Trial to Evaluate the Efficacy of Treatment With Hyperimmune Plasma Obtained From Convalescent Antibodies of COVID-19 Infection,Recruiting,Biological: Hyperimmune plasma|Drug: Standard of care for SARS-CoV-2 infection,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,72.0,"April 23, 2020",2021-12-01,"June 11, 2020","Hospital U. Jerez de la Frontera, Jerez de la Frontera, Cádiz, Spain|Hospital U. Puerto Real, Puerto Real, Cádiz, Spain|Hospital Costa del Sol, Marbella, Málaga, Spain|Hospital U. Torrecárdenas, Almería, Spain|Hospital U. Puerta del Mar, Cádiz, Spain|Hospital U. Virgen de las Nieves, Granada, Spain|Hospital U. San Cecilio, Granada, Spain|Hospital Juan Ramón Jiménez, Huelva, Spain|Hospital Regional U. de Málaga, Málaga, Spain|Hospital U. Virgen de la Victoria, Málaga, Spain|Hospital Unversitario Virgen Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital U. Nuestra Señora de Valme, Sevilla, Spain|Hospital San Juan de Dios, Sevilla, Spain",https://ClinicalTrials.gov/show/NCT04366245,Spain,Standard of care for SARS-CoV-2 infection,12.0,2021,Wednesday
2149,2150,Differences in Immune Response Among HIV-1-infected Individuals With Previous or Current COVID-19 (CoVIHDis).,Not yet recruiting,Diagnostic Test: Immune response study,All,"18 Years to 85 Years   (Adult, Older Adult)",,90.0,"September 1, 2020",2021-09-30,"August 26, 2020",,https://ClinicalTrials.gov/show/NCT04526977,Undefined,,9.0,2021,Thursday
2150,2151,Impact of Covid-19 in Congenital Heart Disease,Recruiting,,All,"Child, Adult, Older Adult",,5000.0,"March 1, 2020",2020-12-30,"April 14, 2020","Uh Montpellier, Montpellier, France",https://ClinicalTrials.gov/show/NCT04336384,France,,12.0,2020,Wednesday
2151,2152,The Utility of Camostat Mesylate in Patients With COVID-19 Associated Coagulopathy (CAC) and Cardiovascular Complications,Not yet recruiting,"Drug: Camostat Mesylate|Drug: Microcrystalline Cellulose, NF",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,200.0,"February 1, 2021",2021-07-30,"October 28, 2020",,https://ClinicalTrials.gov/show/NCT04435015,Undefined,"Camostat Mesylate|Microcrystalline Cellulose, NF",7.0,2021,Friday
2152,2153,Clinical Trial of Favipiravir Treatment of Patients With COVID-19,Recruiting,Drug: Favipiravir,All,"18 Years to 74 Years   (Adult, Older Adult)",Phase 3,150.0,"October 7, 2020",2021-06-01,"October 23, 2020","Department of Pulmonology Semmelweis University, Budapest, Hungary|National Korányi Institute for Pulmonology, Budapest, Hungary|Institute of Infectology, University of Debrecen, Debrecen, Hungary|1st Department of Medicine, University of Pécs, Pécs, Hungary|First Department of Internal Medicine, University of Szeged, Szeged, Hungary",https://ClinicalTrials.gov/show/NCT04600999,Hungary,Favipiravir,6.0,2021,Tuesday
2153,2154,Umbilical Cord Tissue (UC) Derived Mesenchymal Stem Cells (MSCs) Versus Placebo to Treat Acute Pulmonary Inflammation Due to COVID-19,Not yet recruiting,Biological: UCMSCs|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1,21.0,"March 1, 2021",2024-06-01,"September 9, 2020","University of Miami, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT04490486,United States,,6.0,2024,Saturday
2154,2155,Well-Being and Health-Related Quality of Life in Cancer Patients and Survivors During the COVID-19 Pandemic,Recruiting,Other: Quality-of-Life Assessment|Other: Questionnaire Administration,All,"18 Years and older   (Adult, Older Adult)",,50000.0,"June 11, 2020",2021-07-01,"August 5, 2020","M D Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04500600,United States,,7.0,2021,Thursday
2155,2156,SOLIRIS® (Eculizumab) Treatment of Participants With COVID-19,Available,Biological: eculizumab,All,"18 Years and older   (Adult, Older Adult)",,,,,"August 18, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States|Boston Medical Center, Boston, Massachusetts, United States|Newton-Wellesley Hospital, Newton, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Hôpital Henri Mondor, Creteil, France|Hôpital Garches Raymond Poincaré, Garches, France|Hôpital de Bicêtre, Le Kremlin Bicêtre, France|Hôpital Saint Louis, Paris, France|Hôpital Paul Brousse, Villejuif, France",https://ClinicalTrials.gov/show/NCT04355494,France,,,n,
2156,2157,"Safety, Tolerability and Immunogenicity of the Candidate Vaccine MVA-SARS-2-S Against COVID-19",Recruiting,Biological: MVA-SARS-2-S vaccinations (days 0 & 28),All,18 Years to 55 Years   (Adult),Phase 1,30.0,"October 5, 2020",2021-05-01,"December 1, 2020","CTC North GmbH & Co KG at the University Medical Center Hamburg-Eppendorf, Hamburg, Germany",https://ClinicalTrials.gov/show/NCT04569383,Germany,,5.0,2021,Saturday
2157,2158,Place of Circulating Biomarkers and Respiratory Eicosanoids in the Prognosis of Severe Forms of Covid-19 Pneumonia,"Active, not recruiting",,All,"18 Years and older   (Adult, Older Adult)",,100.0,"April 14, 2020",2020-10-31,"July 24, 2020","Groupe Hospitalier Paris Saint-Joseph, Paris, France",https://ClinicalTrials.gov/show/NCT04485364,France,,10.0,2020,Saturday
2158,2159,Point Of Care UltraSonography for Risk-stratification of COVID-19 Patients,Not yet recruiting,Procedure: Follow-up at 14 days,All,"18 Years and older   (Adult, Older Adult)",,300.0,"April 6, 2020",2021-01-29,"April 8, 2020",,https://ClinicalTrials.gov/show/NCT04338100,Undefined,,1.0,2021,Friday
2159,2160,Preeclampsia-like Syndrome Induced by COVID-19: Is it a Real Public Health Issue in Pregnancy During the Pandemic?,Completed,"Diagnostic Test: PCR, lung ultrasound",Female,18 Years to 40 Years   (Adult),,131.0,"March 15, 2020",2020-07-10,"July 28, 2020","Zeynep Kamil Maternity and Childrens Training and Research Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04443140,Turkey,,7.0,2020,Friday
2160,2161,COVID-19 in Patients With Anosmia in Egypt,Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,50.0,"July 1, 2020",2020-10-30,"July 17, 2020","Ain Shams University, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04473157,Egypt,,10.0,2020,Friday
2161,2162,GLS-1200 Topical Nasal Spray to Prevent SARS-CoV-2 Infection (COVID-19) in Health Care Personnel,Recruiting,Drug: GLS-1200|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,225.0,"June 1, 2020",2021-03-01,"December 3, 2020","Sinus and Nasal Specialists of Louisiana, Baton Rouge, Louisiana, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04408183,United States,GLS-1200|Placebo,3.0,2021,Monday
2162,2163,"A Single-blinded, Randomized, Placebo Controlled Phase II Trial of Prophylactic Treatment With Oral Azithromycin Versus Placebo in Cancer Patients Undergoing Antineoplastic Treatment During the Corona Virus Disease 19 (COVID-19) Pandemic",Recruiting,Drug: Azithromycin 500 milligram (mg) oral Tablet|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"April 27, 2020",2020-12-27,"May 1, 2020","AKH Vienna, Department for Internal Medicine I, Oncology, Vienna, Austria",https://ClinicalTrials.gov/show/NCT04369365,Austria,Azithromycin 500 milligram (mg) oral Tablet|Placebo,12.0,2020,Sunday
2163,2164,HOPE: A Trial of Hydroxichloroquine Plus Azithromycin in High Risk COVID-19,Withdrawn,Drug: Hydroxychloroquine and Azithromycin,All,"18 Years and older   (Adult, Older Adult)",Phase 2,0.0,"June 30, 2020",2020-10-30,"October 5, 2020","Núcleo de Oncologia da Bahia - NOB, Salvador, BA, Brazil|Oncoclínicas BH, Belo Horizonte, MG, Brazil|Centro Oncológico do Triângulo - COT, Uberlândia, MG, Brazil|Multihemo, Recife, PE, Brazil|Oncoclinicas RJ, Rio De Janeiro, RJ, Brazil|Centro de Pesquisa em Oncologia PUCRS, Porto Alegre, RS, Brazil|Centro Paulista de Oncologia, São Paulo, SP, Brazil",https://ClinicalTrials.gov/show/NCT04575558,Brazil,Hydroxychloroquine and Azithromycin,10.0,2020,Friday
2164,2165,Use of Dexmedetomidine in Light to Moderate Sedation in the Patient in the Palliative Situation of a Sars-cov-2 / COVID-19 Infection,Withdrawn,Drug: Treatment with Dexmedetomidine,All,"18 Years and older   (Adult, Older Adult)",Phase 4,0.0,"April 20, 2020",2020-11-20,"September 2, 2020","University Hospital, Limoges, France",https://ClinicalTrials.gov/show/NCT04350086,France,Treatment with Dexmedetomidine,11.0,2020,Friday
2165,2166,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflation,Recruiting,Drug: Mavrilimumab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 20, 2020",2021-05-31,"July 30, 2020","University of Cincinnati, Cincinnati, Ohio, United States",https://ClinicalTrials.gov/show/NCT04492514,United States,Mavrilimumab|Placebo,5.0,2021,Monday
2166,2167,COVID19 Clinical Predictors and Outcome,Recruiting,Other: SARS-CoV2 Infection,All,"18 Years and older   (Adult, Older Adult)",,800.0,"June 15, 2020",2022-04-30,"October 22, 2020","St. George's University Hospitals Foundation Trust., London, United Kingdom",https://ClinicalTrials.gov/show/NCT04416347,United Kingdom,,4.0,2022,Saturday
2167,2168,Study of Oral Administration of Ribavirin and Nitazoxamide Versus Placebo in COVID-19,Not yet recruiting,Drug: Placebo|Drug: DuACT,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,40.0,December 2020,2021-03-01,"November 9, 2020","Sunnyside Office Park, Johannesburg, Gauteng, South Africa",https://ClinicalTrials.gov/show/NCT04563208,South Africa,Placebo|DuACT,3.0,2021,Monday
2168,2169,"Effect of the COVID-19 Public Health Crisis on the Mental Health and Physical Well-Being of Cancer Patients, the Coping With COVID Study",Recruiting,Other: Questionnaire Administration,All,"18 Years and older   (Adult, Older Adult)",,700.0,"July 13, 2020",2021-03-31,"December 3, 2020","M D Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04652505,United States,,3.0,2021,Wednesday
2169,2170,Hyperbaric Oxygen Therapy in Non-ventilated COVID-19 Patients,Not yet recruiting,Device: Hyperbaric Chamber,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,30.0,"June 1, 2020",2021-03-30,"June 11, 2020",,https://ClinicalTrials.gov/show/NCT04409886,Undefined,,3.0,2021,Tuesday
2170,2171,Dissemination of SARS-COV-2 (COVID-19) in the Environment of Infected Patients Admitted to Intensive Care Unit,Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,150.0,"April 17, 2020",2020-12-17,"April 24, 2020","Service de réanimation Hôpital Avicenne, Bobigny, France|Service de réanimation Hôpital Bichat, Paris, France|Service de réanimation Hôpital Tenon, Paris, France",https://ClinicalTrials.gov/show/NCT04355481,France,,12.0,2020,Thursday
2171,2172,LILLE COVID RESEARCH NETWORK (Covid-19),Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,1000.0,"August 10, 2020",2022-08-01,"November 19, 2020","Hop Claude Huriez Chr Lille, Lille, France",https://ClinicalTrials.gov/show/NCT04475211,France,,8.0,2022,Monday
2172,2173,Evolution of Pulmonary Ultrasound in Patients Hospitalized for Covid (Coronavirus Disease) 19,Completed,Other: No special intervention,All,"18 Years to 105 Years   (Adult, Older Adult)",,106.0,"March 31, 2020",2020-06-30,"July 17, 2020","CHU Amiens, Amiens, France|CH de la Côte Basque, Bayonne, France|CHU Ambroise Paré, Boulogne-Billancourt, France|CHU Caen, Caen, France|CHG de Chambery, Chambéry, France|Centre Hospitalier Intercommunal de Créteil, Créteil, France|CHU de Limoges, Limoges, France|APHM - Hopital Nord, Marseille, France|CHU de Nancy, Nancy, France|CHU Nîmes, Nîmes, France|CHR Orléans, Orléans, France|CHU Cochin, Paris, France|CHU Poitiers, Poitiers, France|CHU Rouen, Rouen, France|CH Saint-Quentin, Saint-Quentin, France|CHU Larrey - Toulouse, Toulouse, France|CHU de Tours, Tours, France",https://ClinicalTrials.gov/show/NCT04341766,France,,6.0,2020,Tuesday
2173,2174,"The Use of Peripheral Blood Specimens From Patients Suspected of Having SARS-CoV-2 Infections in Research Studies Intended to Support the Development of COVID-19 Detection Methods, Treatments, and/or Vaccines",Not yet recruiting,Diagnostic Test: nasal pharyngeal (NP) swab samples|Diagnostic Test: peripheral blood draw,All,"Child, Adult, Older Adult",,500.0,"June 1, 2020",2021-06-30,"May 18, 2020",,https://ClinicalTrials.gov/show/NCT04391400,Undefined,,6.0,2021,Wednesday
2174,2175,Eucaloric Ketogenic Diet in COVID-19 Cytokine Storm Syndrome,Recruiting,Other: Ketogenic diet,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,"September 1, 2020",2021-05-30,"September 30, 2020","Samir Giuseppe Sukkar, Genova, Italy",https://ClinicalTrials.gov/show/NCT04492228,Italy,,5.0,2021,Sunday
2175,2176,Administration of Allogenic UC-MSCs as Adjuvant Therapy for Critically-Ill COVID-19 Patients,Recruiting,Drug: Oseltamivir|Drug: Azithromycin|Biological: Umbilical Cord Mesenchymal Stem Cells,All,"18 Years to 95 Years   (Adult, Older Adult)",Phase 1,40.0,July 2020,2020-09-01,"July 7, 2020","Cipto Mangunkusumo General Hospital, Jakarta Pusat, DKI Jakarta, Indonesia|Persahabatan General Hospital, Jakarta, DKI Jakarta, Indonesia|Sulianti Saroso Center for Infectious Disease, Jakarta, DKI Jakarta, Indonesia|Universitas Indonesia Hospital, Depok, West Java, Indonesia",https://ClinicalTrials.gov/show/NCT04457609,Indonesia,Oseltamivir|Azithromycin,9.0,2020,Tuesday
2176,2177,Joint Use of Electrocardiogram and Transthoracic Echocardiography With Other Clinico-biological Parameters in an Observational Study to Monitor Cardio-vascular Events and Predict Outcomes in Patients Diagnosed With COVID-19,Recruiting,"Diagnostic Test: Electrocardiogram, transthoracic echocardiography and clinico-biological parameters in routine care",All,"16 Years and older   (Child, Adult, Older Adult)",,500.0,"March 20, 2020",2020-05-20,"April 22, 2020","Clinical Investigation Center Pitié-Salpêtrière, Paris, France",https://ClinicalTrials.gov/show/NCT04320017,France,,5.0,2020,Wednesday
2177,2178,Clinical Trial to Assess the Safety and Efficacy of Intravenous Administration of Allogeneic Adult Mesenchymal Stem Cells of Expanded Adipose Tissue in Patients With Severe Pneumonia Due to COVID-19,"Active, not recruiting",Drug: ALLOGENEIC AND EXPANDED ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,26.0,"April 27, 2020",2021-10-01,"November 30, 2020","Hospital Universitario de Jerez de la Frontera, Jerez de la Frontera, Cádiz, Spain|Hospital Reina Sofía, Córdoba, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Hospital Unversitario Virgen del Rocío, Sevilla, Spain|Hospital Nuestra Señora de Valme, Sevilla, Spain",https://ClinicalTrials.gov/show/NCT04366323,Spain,ALLOGENEIC AND EXPANDED ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS,10.0,2021,Friday
2178,2179,Study of a Recombinant Coronavirus-Like Particle COVID-19 Vaccine in Adults,Recruiting,Drug: Intramuscular injection|Biological: Intramuscular vaccine,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,30612.0,"November 19, 2020",2022-04-30,"November 30, 2020","Manna Research (Mirabel), Mirabel, Quebec, Canada|Diex Research Quebec Inc., Québec, Quebec, Canada|Diex Recherche Joliette, Saint-Charles-Borromée, Quebec, Canada|Q&T Research Sherbrooke Inc., Sherbrooke, Quebec, Canada",https://ClinicalTrials.gov/show/NCT04636697,Canada,Intramuscular injection,4.0,2022,Saturday
2179,2180,Best Supportive Care With or Without Low Dose Whole Lung Radiation Therapy for the Treatment of COVID-19,Recruiting,Other: Best Practice|Radiation: Low Dose Radiation Therapy,All,"18 Years and older   (Adult, Older Adult)",Phase 3,52.0,"June 12, 2020",2022-05-30,"June 16, 2020","Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States",https://ClinicalTrials.gov/show/NCT04433949,Georgia,,5.0,2022,Monday
2180,2181,Evaluation of Alisporivir for the Treatment of Hospitalised Patients With Infections Due to SARS-CoV-2 (COVID-19),Not yet recruiting,Drug: Alisporivir|Other: Standard of care (SOC),All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,100.0,"November 1, 2020",2021-08-04,"October 29, 2020","Assistance Publique Hôpitaux de Paris - CHU Henri Mondor, Créteil, France",https://ClinicalTrials.gov/show/NCT04608214,France,Alisporivir,8.0,2021,Wednesday
2181,2182,Ezrin Peptide (HEP-1) for Treatment of Coronavirus Disease (COVID-19) Infection,Not yet recruiting,Drug: Human Ezrin Peptide 1 (HEP1)|Drug: Placebo,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,20.0,"December 20, 2020",2021-04-01,"November 13, 2020","Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04627233,"Iran, Islamic Republic of",Human Ezrin Peptide 1 (HEP1)|Placebo,4.0,2021,Thursday
