,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start Date,Completion Date,Locations,URL
947,947,"Trial Evaluating Efficacy and Safety of Nivolumab (Optivo®) in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort.",Not yet recruiting,Drug: Nivolumab Injection,All,"18 Years and older   (Adult, Older Adult)",Phase 2,92.0,"April 15, 2020","September 30, 2020",France,https://ClinicalTrials.gov/show/NCT04343144
948,948,Evaluation of the Efficacy of Nicotine Patches in SARS-CoV2 (COVID-19) Infection in Hospitalized Patients,Not yet recruiting,Drug: Nicotine 7 mg/ 24h Transdermal Patch - 24 Hour|Drug: Placebo of NICOTINE Transdermal patch,All,"18 Years and older   (Adult, Older Adult)",Phase 3,220.0,November 2020,June 2022,France,https://ClinicalTrials.gov/show/NCT04608201
949,949,Nebulised Dornase Alfa for Treatment of COVID-19,Recruiting,Drug: Dornase Alfa Inhalation Solution [Pulmozyme],All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,50.0,"June 16, 2020","November 1, 2021",United Kingdom,https://ClinicalTrials.gov/show/NCT04359654
950,950,COVID-19 and Lung Ultrasound Utility,Recruiting,Device: Butterfly iQ,All,"18 Years to 120 Years   (Adult, Older Adult)",Not Applicable,100.0,"September 15, 2020",September 2021,Canada,https://ClinicalTrials.gov/show/NCT04591158
951,951,Washed Microbiota Transplantation for Patients With 2019-nCoV Infection,Withdrawn,Other: washed microbiota transplantation|Other: placebo,All,"14 Years to 70 Years   (Child, Adult, Older Adult)",Not Applicable,0.0,"February 5, 2020","April 30, 2020",China,https://ClinicalTrials.gov/show/NCT04251767
952,952,Ivermectin in Adults With Severe COVID-19.,Recruiting,Drug: Ivermectin|Other: Placebo,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,100.0,"December 7, 2020",March 2021,Colombia,https://ClinicalTrials.gov/show/NCT04602507
953,953,Face Masks to Reduce COVID-19 in Bangladesh,Recruiting,Device: Face mask|Behavioral: Face mask awareness,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,450000.0,"November 15, 2020","February 28, 2021",Bangladesh,https://ClinicalTrials.gov/show/NCT04630054
954,954,REgulatory T Cell infuSion fOr Lung Injury Due to COVID-19 PnEumonia,Recruiting,Biological: CK0802|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1,45.0,"September 29, 2020","September 30, 2021",United States,https://ClinicalTrials.gov/show/NCT04468971
955,955,Management of Covid-19 Patients During Home Isolation,"Active, not recruiting",Device: Oxygen Therapy|Procedure: Physical Therapy,All,21 Years to 40 Years   (Adult),Not Applicable,60.0,"March 15, 2020","June 23, 2020",Egypt,https://ClinicalTrials.gov/show/NCT04368923
956,956,Trial of Inhaled Anti-viral (SNG001) for SARS-CoV-2 (COVID-19) Infection,Recruiting,Drug: SNG001|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,820.0,"March 16, 2020","May 31, 2021",United Kingdom,https://ClinicalTrials.gov/show/NCT04385095
957,957,A Trial of Remdesivir in Adults With Severe COVID-19,Terminated,Drug: Remdesivir|Drug: Remdesivir placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,237.0,"February 6, 2020","April 10, 2020",China,https://ClinicalTrials.gov/show/NCT04257656
958,958,Clinical Trial to Assess Efficacy of cYclosporine Plus Standard of Care in Hospitalized Patients With COVID19,Recruiting,Drug: Cyclosporine|Drug: Standard treatment,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 4,120.0,"April 16, 2020",December 2020,Spain,https://ClinicalTrials.gov/show/NCT04392531
959,959,Reduction of COVID 19 Transmission to Health Care Professionals,Recruiting,Diagnostic Test: Blood group determination|Diagnostic Test: Antibody titration|Dietary Supplement: Probiotic,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500.0,"April 14, 2020",December 2020,Belgium,https://ClinicalTrials.gov/show/NCT04462627
960,960,Aggrenox To Treat Acute Covid-19,Recruiting,Drug: Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally AND Standard of care|Other: Standard of care,All,"19 Years and older   (Adult, Older Adult)",Phase 3,132.0,"October 21, 2020","December 15, 2021",Jersey,https://ClinicalTrials.gov/show/NCT04410328
961,961,Ivermectin In Treatment of COVID 19 Patients,Recruiting,Drug: Ivermectin,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,"June 9, 2020","September 1, 2020",Egypt,https://ClinicalTrials.gov/show/NCT04425707
962,962,Treatment of Covid-19 Using Infrared and/or Vitamin C,Not yet recruiting,Other: Infrared Energy and Dietary Supplement,All,"Child, Adult, Older Adult",Not Applicable,400.0,"October 30, 2020","July 10, 2021",Canada,https://ClinicalTrials.gov/show/NCT04584437
963,963,Growth Hormone in Obese Cases With Covid-19,Withdrawn,Drug: Growth Hormone|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 4,0.0,"October 26, 2020","December 20, 2020",Egypt,https://ClinicalTrials.gov/show/NCT04532554
964,964,ACTIV-2: A Study for Outpatients With COVID-19,Recruiting,Drug: LY3819253|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,2000.0,"August 19, 2020",February 2021,Georgia,https://ClinicalTrials.gov/show/NCT04518410
965,965,A Placebo Controlled Trial of Bempegaldesleukin (BEMPEG; NKTR-214) With Standard of Care in Patients With Mild COVID-19,Recruiting,Drug: Bempegaldesleukin|Drug: Standard of Care|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1,30.0,"November 13, 2020","March 27, 2021",United States,https://ClinicalTrials.gov/show/NCT04646044
966,966,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,Recruiting,Drug: Mavrilimumab|Drug: Placebos,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60.0,"September 2, 2020",August 2021,United States,https://ClinicalTrials.gov/show/NCT04463004
967,967,COVID-19 in a Single Large UK Rheumatology Centre and Impact on QOL,Not yet recruiting,Other: Questionnaire,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,7911.0,October 2020,October 2021,United Kingdom,https://ClinicalTrials.gov/show/NCT04542031
968,968,Efficacy of Iodine Complex Against COVID-19 Patients,Recruiting,Drug: Iodine Complex|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,30.0,"July 14, 2020","September 30, 2020",Pakistan,https://ClinicalTrials.gov/show/NCT04473261
969,969,ANTIBODY-LEVEL BASED ANALYSIS OF COVID-19 CONVALESCENT SERUM (ABACCuS),Recruiting,Biological: COVID-19 convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,500.0,"July 16, 2020",August 2021,United States,https://ClinicalTrials.gov/show/NCT04432272
970,970,Covid-19 Breath Test,Recruiting,Diagnostic Test: Breath Test & Cheek Swab,All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,250.0,"June 29, 2020","June 14, 2021",United Kingdom,https://ClinicalTrials.gov/show/NCT04459962
971,971,"Intravenous Immunoglobulin (IVIG, Bioven) Efficacy Assess for COVID-19 / SARS-CoV-2 Severe Pneumonia Complex Treatment",Completed,Drug: IVIG,All,"18 Years and older   (Adult, Older Adult)",Phase 3,76.0,"May 7, 2020","September 15, 2020",Ukraine,https://ClinicalTrials.gov/show/NCT04500067
972,972,Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19),Terminated,Drug: Tocilizumab (TCZ)|Drug: Placebo,All,"30 Years to 80 Years   (Adult, Older Adult)",Phase 2,5.0,"April 26, 2020","September 27, 2020",Switzerland,https://ClinicalTrials.gov/show/NCT04335071
973,973,Lactoferrin for Prevention of COVID-19 in Health Care Workers,Not yet recruiting,Dietary Supplement: Bovine Lactoferrin|Dietary Supplement: Maltodextrin,All,18 Years to 59 Years   (Adult),Phase 2,336.0,"September 1, 2020","November 1, 2021",Peru,https://ClinicalTrials.gov/show/NCT04526821
974,974,Incidence of COVID-19 Test Conversion in Post-surgical Patients,Recruiting,Diagnostic Test: COVID-19 PCR and Serology,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500.0,"May 13, 2020","July 31, 2020",United States,https://ClinicalTrials.gov/show/NCT04392323
975,975,IFN Beta-1b and Ribavirin for Covid-19,Recruiting,Drug: Interferon beta-1b|Drug: Ribavirin,All,"18 Years and older   (Adult, Older Adult)",Phase 2,96.0,"July 29, 2020","August 1, 2022",Hong Kong,https://ClinicalTrials.gov/show/NCT04494399
976,976,Evaluation of the Pharmacokinetics and Pharmacodynamics of Hydroxychloroquine in COVID-19 Intensive Care Unit Patients,Terminated,Drug: Hydroxychloroquine (HCQ),All,"18 Years and older   (Adult, Older Adult)",Phase 3,7.0,"April 3, 2020","May 28, 2020",France,https://ClinicalTrials.gov/show/NCT04522466
977,977,CorONa Virus edoxabaN ColchicinE (CONVINCE) COVID-19,Not yet recruiting,Drug: Edoxaban Tablets|Drug: Colchicine Tablets,All,"18 Years and older   (Adult, Older Adult)",Phase 3,420.0,"October 1, 2020","December 31, 2021",Switzerland,https://ClinicalTrials.gov/show/NCT04516941
978,978,DIgital Online SuPport for COVID-19 StrEss,Recruiting,Behavioral: Guided online support program|Behavioral: WHO recommendations (waiting condition),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,600.0,"April 8, 2020",December 2021,Germany,https://ClinicalTrials.gov/show/NCT04324190
979,979,Host Response Mediators in Coronavirus (COVID-19) Infection - Is There a Protective Effect of Losartan on Outcomes of Coronavirus Infection?,Recruiting,Drug: Losartan,All,"18 Years and older   (Adult, Older Adult)",Phase 3,1372.0,"October 9, 2020","June 30, 2021",Belgium,https://ClinicalTrials.gov/show/NCT04606563
980,980,Identifying Functional and Psycho-social Complaints After Hospitalization for SARS-CoV-2 Infection( COVID 19)- REPERCOV,Recruiting,Other: questionnaire,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,134.0,"June 11, 2020","June 11, 2022",France,https://ClinicalTrials.gov/show/NCT04561154
981,981,Baricitinib Therapy in COVID-19,Completed,Drug: Baricitinib 4 MG Oral Tablet,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2|Phase 3,12.0,"March 16, 2020","April 7, 2020",Italy,https://ClinicalTrials.gov/show/NCT04358614
982,982,Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia,Recruiting,Procedure: Combined use of a respiratory broad panel multiplex PCR and procalcitonin|Other: Usual antibiotic treatment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,194.0,"April 20, 2020",August 2020,France,https://ClinicalTrials.gov/show/NCT04334850
983,983,Phase II RCT to Assess Efficacy of Intravenous Administration of Oxytocin in Patients Affected by COVID-19,Not yet recruiting,Drug: Oxytocin|Drug: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,145.0,"September 1, 2020","December 31, 2020",France,https://ClinicalTrials.gov/show/NCT04386447
984,984,Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation,Recruiting,Drug: Ruxolitinib,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"April 22, 2020","August 31, 2021",Germany,https://ClinicalTrials.gov/show/NCT04338958
985,985,"A Study to Investigate the Pharmacokinetics, Efficacy and Safety of INM005 in Patients With COVID-19.","Active, not recruiting",Drug: INM005|Drug: Placebo,All,"18 Years to 79 Years   (Adult, Older Adult)",Phase 2|Phase 3,242.0,"July 27, 2020",December 2020,Argentina,https://ClinicalTrials.gov/show/NCT04494984
986,986,Efficacy of BACMUNE (MV130) in the Prevention of Disease Due to COVID-19 Infection in Healthcare Personnel,Withdrawn,Biological: BACMUNE (MV130)|Other: Placebo,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,0.0,October 2020,December 2021,Mexico,https://ClinicalTrials.gov/show/NCT04452643
987,987,Sofosbuvir Containing Regimens in Treatment of COVID 19 Patients,Recruiting,Drug: Sofosbuvir|Drug: Daclatasvir,All,"Child, Adult, Older Adult",Phase 2|Phase 3,100.0,"July 1, 2020","April 10, 2021",Egypt,https://ClinicalTrials.gov/show/NCT04497649
988,988,Effect of Prone Positioning Combined With High Flow Oxygen Therapy on Oxygenation During Acute Respiratory Failure Due to COVID-19,Recruiting,Other: Prone position|Other: Supine position,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,18.0,"October 1, 2020",May 2021,France,https://ClinicalTrials.gov/show/NCT04543760
989,989,Masitinib Combined With Isoquercetin and Best Supportive Care in Hospitalized Patients With Moderate and Severe COVID-19,Recruiting,Drug: Masitinib|Drug: Isoquercetin|Drug: Best Supportive Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"June 1, 2020",June 2021,France,https://ClinicalTrials.gov/show/NCT04622865
990,990,Clinical Trial to Evaluate the Efficacy of Food Supplement Manremyc® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers,Recruiting,Dietary Supplement: Manremyc|Dietary Supplement: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,315.0,"July 14, 2020",December 2021,Spain,https://ClinicalTrials.gov/show/NCT04452773
991,991,Safety and Immunogenicity Trial of an Oral SARS-CoV-2 Vaccine (VXA-CoV2-1) for Prevention of COVID-19 in Healthy Adults,"Active, not recruiting",Biological: VXA-CoV2-1,All,18 Years to 54 Years   (Adult),Phase 1,35.0,"September 21, 2020",October 2021,United States,https://ClinicalTrials.gov/show/NCT04563702
992,992,Enoxaparin at Prophylactic or Therapeutic Doses in COVID-19,Recruiting,Drug: Enoxaparin,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,300.0,"July 27, 2020","July 31, 2021",Italy,https://ClinicalTrials.gov/show/NCT04646655
993,993,Efficacy and Safety Evaluation of Mesenchymal Stem Cells for the Treatment of Patients With Respiratory Distress Due to COVID-19,Recruiting,Drug: XCEL-UMC-BETA|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,30.0,"May 13, 2020",December 2020,Spain,https://ClinicalTrials.gov/show/NCT04390139
994,994,Efficacy and Safety of Recovered Covid 19 Plasma Transfusion to Covid 19 Severly Ill Patients,Recruiting,Biological: recovered covid 19 patients plasma,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,30.0,"May 29, 2020","September 1, 2020",Egypt,https://ClinicalTrials.gov/show/NCT04530370
995,995,Convalescent Plasma to Limit SARS-CoV-2 Associated Complications,Recruiting,Biological: SARS-CoV-2 convalescent plasma|Biological: Plasma from a volunteer donor,All,"18 Years and older   (Adult, Older Adult)",Phase 2,1344.0,"June 3, 2020","January 31, 2023",India,https://ClinicalTrials.gov/show/NCT04373460
996,996,Inspiratory Muscle Training in COVID-19 Patients,Not yet recruiting,Device: inspiratory muscle traiing,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,120.0,"November 1, 2020","June 30, 2021",Brazil,https://ClinicalTrials.gov/show/NCT04595097
997,997,Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients,Not yet recruiting,Drug: Tranexamic acid|Drug: Placebo oral tablet,All,"19 Years and older   (Adult, Older Adult)",Phase 2,60.0,"September 30, 2021","December 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04338126
998,998,Contrast Enhanced Ultrasound in COVID-19,Recruiting,Drug: Sulfur hexafluoride lipid-type A microspheres,All,up to 17 Years   (Child),Phase 3,30.0,December 2020,December 2022,United States,https://ClinicalTrials.gov/show/NCT04640038
999,999,The Effect of Melatonin and Vitamin C on COVID-19,Not yet recruiting,Dietary Supplement: Vitamin C|Dietary Supplement: melatonin|Dietary Supplement: Placebo|Other: Symptom Survey,All,"50 Years and older   (Adult, Older Adult)",Not Applicable,150.0,"September 18, 2020","December 1, 2021",United States,https://ClinicalTrials.gov/show/NCT04530539
1000,1000,Functional and Respiratory Rehabilitation and Nutritional Care of COVID-19 Patients (RECOVER-19),Recruiting,Other: Intervention group_rehabilitation program,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,160.0,"July 30, 2020","November 30, 2021",France,https://ClinicalTrials.gov/show/NCT04466800
1001,1001,"Safety, Tolerability, and Pharmacokinetics of Anti-Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Chicken Egg Antibody (IgY) (COVID-19)",Recruiting,Drug: anti-SARS-CoV-2 IgY|Drug: Placebo,All,18 Years to 45 Years   (Adult),Phase 1,48.0,"September 18, 2020",December 2020,Australia,https://ClinicalTrials.gov/show/NCT04567810
1002,1002,Hydrocortisone for COVID-19 and Severe Hypoxia,"Active, not recruiting",Drug: Hydrocortisone|Drug: Sodium Chloride 9mg/mL,All,"18 Years and older   (Adult, Older Adult)",Phase 3,1000.0,"April 17, 2020","June 8, 2021",Denmark,https://ClinicalTrials.gov/show/NCT04348305
1003,1003,Transpulmonary Pressure Measurements in Intubated Children With Covid-19 Respiratory Failure,Recruiting,Diagnostic Test: Transpulmonary pressure measurements,All,up to 17 Years   (Child),Not Applicable,10.0,"May 21, 2020","January 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04519411
1004,1004,Collection of Biological Samples With Clinical Characterization of Covid-19 Patients,Recruiting,Biological: Biological test,All,"Child, Adult, Older Adult",Not Applicable,500.0,"May 31, 2020","May 31, 2021",France,https://ClinicalTrials.gov/show/NCT04363385
1005,1005,Early Treatment of Cytokine Storm Syndrome in Covid-19,Recruiting,Drug: Anakinra|Drug: Normal saline,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,30.0,"July 29, 2020",March 2021,United States,https://ClinicalTrials.gov/show/NCT04362111
1006,1006,mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Repurposed Drugs (TACTIC-R),Recruiting,Drug: Ravulizumab|Drug: Baricitinib|Other: Standard of care,All,"18 Years and older   (Adult, Older Adult)",Phase 4,1167.0,"May 8, 2020","May 1, 2022",United Kingdom,https://ClinicalTrials.gov/show/NCT04390464
1007,1007,Immunity and Safety of Covid-19 Synthetic Minigene Vaccine,Recruiting,Biological: Injection and infusion of LV-SMENP-DC vaccine and antigen-specific CTLs,All,"6 Months to 80 Years   (Child, Adult, Older Adult)",Phase 1|Phase 2,100.0,"March 24, 2020","December 31, 2024",China,https://ClinicalTrials.gov/show/NCT04276896
1008,1008,Study Assessing Vagus Nerve Stimulation in CoViD-19 Respiratory Symptoms,Recruiting,Device: gammaCore® (Vagus nerve stimulation),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,90.0,"April 20, 2020","July 31, 2020",Spain,https://ClinicalTrials.gov/show/NCT04368156
1009,1009,OUTpatient Treatment of COVID-19 in Patients With Risk Factor for Poor Outcome,Suspended,Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Lopinavir 200Mg/Ritonavir 50Mg Tab,All,"50 Years and older   (Adult, Older Adult)",Phase 3,640.0,"May 7, 2020","February 7, 2021",France,https://ClinicalTrials.gov/show/NCT04365582
1010,1010,Assessment of the Effect of Convalescent Plasma Therapy in Patients With Life-threatening COVID19 Infection,Recruiting,Biological: Convalescent Plasma|Drug: Standard of Care,All,"21 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,67.0,"June 1, 2020","December 31, 2021",Egypt,https://ClinicalTrials.gov/show/NCT04438694
1011,1011,"Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2/COVID-19) Neutralizing Antibody in Healthy Participants",Recruiting,Drug: BGB DXP593|Drug: Placebo,All,18 Years to 60 Years   (Adult),Phase 1,30.0,"September 8, 2020","June 15, 2021",Australia,https://ClinicalTrials.gov/show/NCT04532294
1012,1012,CoV-Hep Study: Regional Anticoagulation Modalities in Continuous Venous Venous Hemodialysis in Patients With COVID-19,Recruiting,Drug: unfractionated Heparin,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,90.0,"June 29, 2020",July 2021,Brazil,https://ClinicalTrials.gov/show/NCT04487990
1013,1013,Inhalation of KELEA Excellerated Water in Covid-19 Infected Individuals,Recruiting,Device: KELEA Excellerated Water|Device: Water Without an Elevated Level of KELEA,All,"Child, Adult, Older Adult",Not Applicable,100.0,"October 1, 2020","November 30, 2020",United States,https://ClinicalTrials.gov/show/NCT04490824
1014,1014,Repeat Testing for SARS-CoV-2,Enrolling by invitation,Device: Saliva Assay,All,"5 Years and older   (Child, Adult, Older Adult)",Not Applicable,10000.0,"September 29, 2020",September 2021,United States,https://ClinicalTrials.gov/show/NCT04579549
1015,1015,Effect of Physical Therapy Exercises on Cardiorespiratory Fitness Level in COVID19 Patients After Recovery.,Completed,Other: Physical Exercises,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,20.0,"July 3, 2020","October 3, 2020",Pakistan,https://ClinicalTrials.gov/show/NCT04445376
1016,1016,Efficacy of Various Doses of Hydroxychloroquine in Pre-Exposure Prophylaxis for COVID 19,Recruiting,Drug: Hydroxychloroquine Sulfate 200 MG|Other: Placebo,All,18 Years to 60 Years   (Adult),Phase 2,200.0,"May 1, 2020","September 25, 2020",Pakistan,https://ClinicalTrials.gov/show/NCT04359537
1017,1017,Sensor Based Vital Signs Monitoring of Covid 19 Patients During Home Isolation,Recruiting,Device: Biosensors,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,214.0,"April 22, 2020","December 20, 2025",Norway,https://ClinicalTrials.gov/show/NCT04335097
1018,1018,Evaluation of the Performance of the Covid-19 Ag BSS Rapid Antigenic Test in Symptomatic Children in a Pediatric Emergency Department,Completed,Diagnostic Test: Performance of the test antigenic and test RT-PCR,All,"up to 18 Years   (Child, Adult)",Not Applicable,500.0,"October 1, 2020","November 25, 2020",France,https://ClinicalTrials.gov/show/NCT04583189
1019,1019,Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS,Recruiting,Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,20.0,"May 1, 2018","December 31, 2020",United States,https://ClinicalTrials.gov/show/NCT03376854
1020,1020,Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients,Not yet recruiting,Dietary Supplement: Acacia Senegal|Dietary Supplement: Pectin,All,"5 Years to 90 Years   (Child, Adult, Older Adult)",Phase 2|Phase 3,110.0,"June 1, 2020","September 1, 2020",Sudan,https://ClinicalTrials.gov/show/NCT04381871
1021,1021,CONTAIN COVID-19: Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients,Recruiting,Biological: Convalescent Plasma|Other: Saline solution,All,"18 Years and older   (Adult, Older Adult)",Phase 2,300.0,"April 17, 2020","April 30, 2023",United States,https://ClinicalTrials.gov/show/NCT04364737
1022,1022,Hyperbaric Oxygen Therapy for Post-COVID-19 Syndrome,Not yet recruiting,Device: Hyperbaric oxygen|Device: Sham,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,70.0,"January 1, 2021","January 1, 2023",Israel,https://ClinicalTrials.gov/show/NCT04647656
1023,1023,Phytomedicines Versus Hydroxychloroquine as an Add on Therapy to Azythromycin in Asymptomatic Covid-19 Patients,Enrolling by invitation,Combination Product: Hydroxychloroquine/Azithromycine|Combination Product: Quinquina-Stevia/Azythromycin|Combination Product: 4Plants/Azythromycin,All,"18 Years and older   (Adult, Older Adult)",Phase 2,231.0,"June 1, 2020","September 30, 2020",Guinea,https://ClinicalTrials.gov/show/NCT04501965
1024,1024,Mesenchymal Stem Cells (MSCs) in Inflammation-Resolution Programs of Coronavirus Disease 2019 (COVID-19) Induced Acute Respiratory Distress Syndrome (ARDS),Not yet recruiting,Biological: MSC,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40.0,October 2020,July 2021,Germany,https://ClinicalTrials.gov/show/NCT04377334
1025,1025,Cardiovascular and Renal Biomarkers to Predict Acute Heart or Kidney Injury in Severe Covid-19 Infection,Recruiting,Procedure: Biological samples specific to research|Procedure: Clinical examination|Procedure: Telephone follow-up,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,57.0,"April 27, 2020","October 27, 2021",France,https://ClinicalTrials.gov/show/NCT04354610
1026,1026,Study Investigating the Effects of UVC Beam and Laser Beam Therapy According to Standard Therapy in Patients With Covid-19 Diagnosis,"Active, not recruiting",Device: Test Group: experimental - UVC Therapy applied,All,"40 Years to 75 Years   (Adult, Older Adult)",Not Applicable,50.0,"June 26, 2020","May 4, 2021",Turkey,https://ClinicalTrials.gov/show/NCT04642326
1027,1027,Study of the Safety of Therapeutic Tx With Immunomodulatory MSC in Adults With COVID-19 Infection Requiring Mechanical Ventilation,Recruiting,Biological: BM-Allo.MSC|Biological: Placebo,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,45.0,"August 3, 2020",June 2021,United States,https://ClinicalTrials.gov/show/NCT04397796
1028,1028,"A Trial Using ANAKINRA, TOCILIZUMAB Alone or in Association With RUXOLITINIB in Severe Stage 2b and 3 of COVID19-associated Disease",Not yet recruiting,Drug: Anakinra +/- Ruxolitinib (stages 2b/3)|Drug: Anakinra and Ruxolitinib (Advanced stage 3)|Drug: Tocilizumab +/- ruxolitinib (stages 2b/3)|Drug: Tocilizumab and Ruxolitinib (Advanced stage 3)|Other: Standard of care,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,216.0,"September 1, 2020","November 1, 2022",France,https://ClinicalTrials.gov/show/NCT04424056
1029,1029,Furosemide as Supportive Therapy for COVID-19 Respiratory Failure,Not yet recruiting,Drug: Nebulized Furosemide|Drug: Nebulized Saline,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2|Phase 3,640.0,"October 19, 2020","October 1, 2021",Canada,https://ClinicalTrials.gov/show/NCT04588792
1030,1030,Cholecalciferol to Improve the Outcomes of COVID-19 Patients,Recruiting,Drug: Vitamin D|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 4,1264.0,"August 11, 2020","December 28, 2020",Argentina,https://ClinicalTrials.gov/show/NCT04411446
1031,1031,Impact of Neck Inspiratory Muscle Activation During Sleep in ICU Patients After a COVID 19 ARDS,Recruiting,Other: PSG,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,25.0,"April 28, 2020","December 28, 2020",France,https://ClinicalTrials.gov/show/NCT04371029
1032,1032,Awake-Prone Positioning Strategy for Hypoxic Patients With COVID-19,Recruiting,Other: Usual Care|Other: APPS,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,40.0,"June 14, 2020","September 30, 2020",United States,https://ClinicalTrials.gov/show/NCT04547283
1033,1033,Convalescent Plasma Therapy in Severe COVID-19 Infection,Recruiting,Biological: Convalescent plasma,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 2,20.0,"May 20, 2020","October 30, 2020",Bangladesh,https://ClinicalTrials.gov/show/NCT04403477
1034,1034,The Effect of Berberine on Intestinal Function and Inflammatory Mediators in Severe Patients With Covid-19,Completed,Drug: Berberine|Drug: Montmorrillonite,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,76.0,"February 8, 2020","April 23, 2020",China,https://ClinicalTrials.gov/show/NCT04479202
1035,1035,An Evaluation of a Synbiotic Formula for Patients With COVID-19 Infection,Recruiting,Other: Health supplements,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50.0,"August 13, 2020","April 30, 2022",Hong Kong,https://ClinicalTrials.gov/show/NCT04581018
1036,1036,COVID-FIS: Pilot in COVID-19 (SARS-CoV-2) of Fisetin in Older Adults in Nursing Homes,Not yet recruiting,Drug: Fisetin|Drug: Placebo,All,65 Years and older   (Older Adult),Phase 2,150.0,December 2020,December 2023,United States,https://ClinicalTrials.gov/show/NCT04537299
